iq,cgpa,placement
95,2.1,0
102,2.5,0
110,2.8,0
115,3.0,0
120,3.2,1
125,3.4,1
130,3.6,1
135,3.7,1
140,3.8,1
145,3.9,1
90,2.0,0
92,2.2,0
98,2.4,0
105,2.7,0
112,2.9,0
118,3.1,1
122,3.3,1
128,3.5,1
132,3.6,1
138,3.8,1
100,2.3,0
103,2.6,0
108,2.8,0
113,3.0,0
119,3.2,1
124,3.4,1
129,3.5,1
134,3.7,1
139,3.8,1
144,3.9,1
91,2.1,0
94,2.3,0
97,2.5,0
101,2.7,0
107,2.9,0
111,3.0,0
116,3.2,1
121,3.3,1
126,3.5,1
131,3.6,1
136,3.7,1
141,3.8,1
146,3.9,1
99,2.4,0
104,2.6,0
109,2.8,0
114,3.0,0
117,3.1,1
123,3.3,1
127,3.4,1
133,3.6,1
137,3.7,1
142,3.8,1
147,3.9,1
96,2.2,0
93,2.1,0
106,2.7,0
118,3.0,1
120,3.1,1
125,3.3,1
129,3.4,1
134,3.6,1
138,3.7,1
143,3.8,1
148,3.9,1
89,2.0,0
92,2.2,0
97,2.4,0
103,2.6,0
108,2.8,0
112,3.0,0
117,3.2,1
121,3.3,1
126,3.5,1
131,3.6,1
135,3.7,1
140,3.8,1
145,3.9,1
100,2.3,0
105,2.6,0
110,2.8,0
115,3.0,0
119,3.2,1
124,3.3,1
128,3.5,1
132,3.6,1
137,3.7,1
141,3.8,1
146,3.9,1
90,2.1,0
95,2.3,0
98,2.5,0
102,2.7,0
107,2.9,0
113,3.1,1
118,3.2,1
122,3.4,1
127,3.5,1
133,3.7,1
